# Simulation 6 (Up to date)
# 2863 data points written for 2 variables.
#
# Time (s),Altitude (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
68.94,2185.17
68.99,2183.578
69.04,2181.987
69.09,2180.396
69.14,2178.806
69.19,2177.216
69.24,2175.626
69.29,2174.036
69.34,2172.446
69.39,2170.857
69.44,2169.268
69.49,2167.679
69.54,2166.09
69.59,2164.501
69.64,2162.913
69.69,2161.325
69.74,2159.736
69.79,2158.148
69.84,2156.56
69.89,2154.972
69.94,2153.384
69.99,2151.796
70.04,2150.209
70.09,2148.621
70.14,2147.033
70.19,2145.446
70.24,2143.858
70.29,2142.271
70.34,2140.683
70.39,2139.096
70.44,2137.509
70.49,2135.922
70.54,2134.335
70.59,2132.748
70.64,2131.162
70.69,2129.575
70.74,2127.989
70.79,2126.403
70.84,2124.818
70.89,2123.232
70.94,2121.648
70.99,2120.063
71.04,2118.479
71.09,2116.895
71.14,2115.312
71.19,2113.729
71.24,2112.147
71.29,2110.565
71.34,2108.984
71.39,2107.404
71.44,2105.824
71.49,2104.244
71.54,2102.665
71.59,2101.087
71.64,2099.509
71.69,2097.931
71.74,2096.355
71.79,2094.778
71.84,2093.202
71.89,2091.627
71.94,2090.052
71.99,2088.478
72.04,2086.904
72.09,2085.33
72.14,2083.757
72.19,2082.184
72.24,2080.611
72.29,2079.039
72.34,2077.467
72.39,2075.894
72.44,2074.322
72.49,2072.75
72.54,2071.178
72.59,2069.606
72.64,2068.034
72.69,2066.462
72.74,2064.89
72.79,2063.317
72.84,2061.744
72.89,2060.172
72.94,2058.598
72.99,2057.025
73.04,2055.451
73.09,2053.877
73.14,2052.303
73.19,2050.728
73.24,2049.153
73.29,2047.578
73.34,2046.002
73.39,2044.426
